Snapshot:
term=2 index=30003 nodes=[ce2a822cea30bfca]
Start dupmping log entries from snapshot.
WAL metadata:
nodeID=ce2a822cea30bfca clusterID=7e27652122e8b2ae term=2 commitIndex=30098 vote=ce2a822cea30bfca
WAL entries:
lastIndex=30098
term	     index	type	data
   2	     30004	norm	method=SYNC time="2017-01-31 16:08:06.3024786 +0800 CST"
   2	     30005	norm	method=SYNC time="2017-01-31 16:08:06.8025072 +0800 CST"
   2	     30006	norm	method=SYNC time="2017-01-31 16:08:07.3025358 +0800 CST"
   2	     30007	norm	method=SYNC time="2017-01-31 16:08:07.8025644 +0800 CST"
   2	     30008	norm	method=SYNC time="2017-01-31 16:08:08.302593 +0800 CST"
   2	     30009	norm	method=SYNC time="2017-01-31 16:08:08.8026216 +0800 CST"
   2	     30010	norm	method=SYNC time="2017-01-31 16:08:09.3016501 +0800 CST"
   2	     30011	norm	method=SYNC time="2017-01-31 16:08:09.8016787 +0800 CST"
   2	     30012	norm	method=SYNC time="2017-01-31 16:08:10.3017073 +0800 CST"
   2	     30013	norm	method=SYNC time="2017-01-31 16:08:10.8017359 +0800 CST"
   2	     30014	norm	method=SYNC time="2017-01-31 16:08:11.3017645 +0800 CST"
   2	     30015	norm	method=SYNC time="2017-01-31 16:08:11.8017931 +0800 CST"
   2	     30016	norm	method=SYNC time="2017-01-31 16:08:12.3018217 +0800 CST"
   2	     30017	norm	method=SYNC time="2017-01-31 16:08:12.8018503 +0800 CST"
   2	     30018	norm	method=SYNC time="2017-01-31 16:08:13.3018789 +0800 CST"
   2	     30019	norm	method=SYNC time="2017-01-31 16:08:13.8019075 +0800 CST"
   2	     30020	norm	method=SYNC time="2017-01-31 16:08:14.3019361 +0800 CST"
   2	     30021	norm	method=SYNC time="2017-01-31 16:08:14.8019647 +0800 CST"
   2	     30022	norm	method=SYNC time="2017-01-31 16:08:15.3019933 +0800 CST"
   2	     30023	norm	method=SYNC time="2017-01-31 16:08:15.8020219 +0800 CST"
   2	     30024	norm	method=SYNC time="2017-01-31 16:08:16.3020505 +0800 CST"
   2	     30025	norm	method=SYNC time="2017-01-31 16:08:16.8020791 +0800 CST"
   2	     30026	norm	method=SYNC time="2017-01-31 16:08:17.3021077 +0800 CST"
   2	     30027	norm	method=SYNC time="2017-01-31 16:08:17.8021363 +0800 CST"
   2	     30028	norm	method=SYNC time="2017-01-31 16:08:18.3021649 +0800 CST"
   2	     30029	norm	method=SYNC time="2017-01-31 16:08:18.8031936 +0800 CST"
   2	     30030	norm	method=SYNC time="2017-01-31 16:08:19.3022221 +0800 CST"
   2	     30031	norm	method=SYNC time="2017-01-31 16:08:19.8022507 +0800 CST"
   2	     30032	norm	method=SYNC time="2017-01-31 16:08:20.3022793 +0800 CST"
   2	     30033	norm	method=SYNC time="2017-01-31 16:08:20.8023079 +0800 CST"
   2	     30034	norm	method=SYNC time="2017-01-31 16:08:21.3023365 +0800 CST"
   2	     30035	norm	method=SYNC time="2017-01-31 16:08:21.8023651 +0800 CST"
   2	     30036	norm	method=SYNC time="2017-01-31 16:08:22.3023937 +0800 CST"
   2	     30037	norm	method=SYNC time="2017-01-31 16:08:22.8024223 +0800 CST"
   2	     30038	norm	method=SYNC time="2017-01-31 16:08:23.3024509 +0800 CST"
   2	     30039	norm	method=SYNC time="2017-01-31 16:08:23.8024795 +0800 CST"
   2	     30040	norm	method=SYNC time="2017-01-31 16:08:24.3025081 +0800 CST"
   2	     30041	norm	method=SYNC time="2017-01-31 16:08:24.8025367 +0800 CST"
   2	     30042	norm	method=SYNC time="2017-01-31 16:08:25.3025653 +0800 CST"
   2	     30043	norm	method=SYNC time="2017-01-31 16:08:25.8025939 +0800 CST"
   2	     30044	norm	method=SYNC time="2017-01-31 16:08:26.3026225 +0800 CST"
   2	     30045	norm	method=SYNC time="2017-01-31 16:08:26.8016511 +0800 CST"
   2	     30046	norm	method=SYNC time="2017-01-31 16:08:27.3016797 +0800 CST"
   2	     30047	norm	method=SYNC time="2017-01-31 16:08:27.8017083 +0800 CST"
   2	     30048	norm	method=SYNC time="2017-01-31 16:08:28.3017369 +0800 CST"
   2	     30049	norm	method=SYNC time="2017-01-31 16:08:28.8017655 +0800 CST"
   2	     30050	norm	method=SYNC time="2017-01-31 16:08:29.3017941 +0800 CST"
   2	     30051	norm	method=SYNC time="2017-01-31 16:08:29.8018227 +0800 CST"
   2	     30052	norm	method=SYNC time="2017-01-31 16:08:30.3018513 +0800 CST"
   2	     30053	norm	method=SYNC time="2017-01-31 16:08:30.8018799 +0800 CST"
   2	     30054	norm	method=SYNC time="2017-01-31 16:08:31.3019085 +0800 CST"
   2	     30055	norm	method=SYNC time="2017-01-31 16:08:31.8019371 +0800 CST"
   2	     30056	norm	method=SYNC time="2017-01-31 16:08:32.3019657 +0800 CST"
   2	     30057	norm	method=SYNC time="2017-01-31 16:08:32.8049944 +0800 CST"
   2	     30058	norm	method=SYNC time="2017-01-31 16:08:33.3020229 +0800 CST"
   2	     30059	norm	method=SYNC time="2017-01-31 16:08:33.8020515 +0800 CST"
   2	     30060	norm	method=SYNC time="2017-01-31 16:08:34.3020801 +0800 CST"
   2	     30061	norm	method=SYNC time="2017-01-31 16:08:34.8021087 +0800 CST"
   2	     30062	norm	method=SYNC time="2017-01-31 16:08:35.3021373 +0800 CST"
